Unnamed: 0,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,col,Location_Ahmedabad,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
21,2015,55392,2365.0,1248.0,885.0,5.0,8.25,885.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
22,2015,55985,1353.0,1984.0,17701.0,5.0,23.5,17701.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
23,2010,45807,185.0,1197.0,80.0,5.0,1.87,80.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
24,2010,33000,144.0,1598.0,1036.0,5.0,2.85,1036.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
25,2012,51920,168.0,1497.0,1163.0,5.0,4.25,1163.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
26,2012,54000,2308.0,1461.0,631.0,5.0,4.25,631.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
27,2013,54000,2092.0,998.0,671.0,5.0,2.75,671.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
28,2018,37430,175.0,1199.0,887.0,5.0,9.9,887.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
29,2007,262000,128.0,2494.0,102.0,7.0,4.0,102.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
30,2013,62000,1901.0,1461.0,10845.0,5.0,7.75,10845.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
31,2012,87615,1453.0,1798.0,1381.0,5.0,6.75,1381.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
32,2013,72000,1118.0,2696.0,184.0,7.0,12.5,184.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
33,2010,35000,124.0,2698.0,1795.0,5.0,11.5,1795.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
34,2014,55431,1609.0,1598.0,1035.0,5.0,6.98,1035.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
35,2009,83816,140.0,1061.0,64.0,5.0,1.85,64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
36,2018,50075,243.0,1248.0,885.0,5.0,8.63,885.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
37,2017,52000,1815.0,1198.0,82.0,5.0,4.85,82.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
38,2013,85000,1174.0,2987.0,2548.0,5.0,28.0,2548.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
39,2013,62000,2207.0,1199.0,739.0,5.0,5.0,739.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
40,2008,90000,197.0,796.0,463.0,5.0,1.25,463.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
41,2014,19698,254.0,624.0,375.0,4.0,1.53,375.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
42,2017,22033,2532.0,1198.0,77.0,6.0,5.58,77.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
43,2014,35487,185.0,1197.0,829.0,5.0,4.74,829.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
44,2014,46374,1462.0,1999.0,14992.0,5.0,8.85,14992.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
45,2016,52001,1428.0,1798.0,13803.0,5.0,10.11,13803.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
46,2008,58005,149.0,1991.0,1122.0,5.0,4.25,1122.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
47,2012,70704,1125.0,2694.0,1637.0,7.0,10.95,1637.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
48,2014,75000,244.0,1120.0,71.0,5.0,3.85,71.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
49,2012,75800,1655.0,2498.0,105.0,6.0,5.5,105.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
50,2015,13648,1711.0,1968.0,17433.0,5.0,21.43,17433.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
51,2014,52000,229.0,1248.0,74.0,5.0,4.25,74.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
52,2014,53000,178.0,1248.0,75.0,5.0,3.3,75.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
53,2013,65650,284.0,1248.0,74.0,5.0,3.85,74.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
54,2015,54000,189.0,1197.0,82.0,5.0,3.6,82.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
55,2015,39000,1504.0,1598.0,1032.0,5.0,3.99,1032.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
56,2017,16542,2517.0,799.0,533.0,5.0,3.3,533.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
57,2010,32000,2036.0,1197.0,789.0,5.0,2.07,789.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
58,2010,121812,1329.0,1995.0,1476.0,5.0,7.75,1476.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
59,2010,39300,182.0,998.0,671.0,5.0,2.25,671.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
60,2017,22000,1368.0,2393.0,1478.0,8.0,16.5,1478.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
61,2010,72000,200.0,1399.0,68.0,5.0,2.75,68.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
62,2015,58000,1174.0,1796.0,186.0,5.0,26.7,186.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
63,2011,65000,158.0,2148.0,170.0,5.0,10.0,170.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
64,2016,178000,250.0,1396.0,69.0,5.0,2.5,69.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
65,2012,65664,1655.0,1968.0,140.0,5.0,13.5,140.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
66,2007,63000,164.0,1497.0,78.0,5.0,1.85,78.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
67,2019,15369,0.0,1950.0,194.0,5.0,35.67,194.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
68,2016,63000,2452.0,1248.0,885.0,7.0,8.15,885.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
69,2018,13000,221.0,1396.0,887.0,5.0,10.5,887.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
70,2008,73000,85.0,4806.0,500.0,5.0,14.5,500.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
71,2015,55729,151.0,2179.0,140.0,7.0,9.65,140.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
72,2012,45178,1695.0,1197.0,789.0,5.0,3.48,789.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
73,2015,56066,1964.0,1461.0,1085.0,5.0,6.92,1085.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
74,2016,37300,165.0,1198.0,868.0,5.0,6.46,868.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
75,2014,56000,1853.0,1968.0,18774.0,5.0,29.5,18774.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
76,2008,111111,178.0,1399.0,2740.1075561606535,5.0,2.0,2740.1075561606535,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
77,2006,230000,124.0,1998.0,132.0,8.0,4.5,132.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
78,2012,104000,128.0,2494.0,102.0,7.0,11.75,102.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
79,2005,87591,0.0,1086.0,2740.1075561606535,5.0,1.3,2740.1075561606535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
80,2012,95100,229.0,1248.0,74.0,5.0,3.75,74.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
81,2017,70000,1757.0,1193.0,887.0,5.0,4.5,887.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
82,2016,54944,180.0,1198.0,867.0,5.0,4.82,867.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
83,2012,70337,200.0,1399.0,68.0,5.0,2.8,68.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
84,2013,99638,232.0,1248.0,7394.0,5.0,3.11,7394.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
85,2009,52000,178.0,1497.0,1173.0,5.0,3.25,1173.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
86,2011,75000,1673.0,1995.0,218.0,5.0,13.9,218.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
87,2009,95980,2036.0,1197.0,789.0,5.0,2.25,789.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
88,2016,16000,189.0,1197.0,82.0,5.0,5.75,82.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
89,2007,73745,170.0,1086.0,2740.1075561606535,5.0,2.1,2740.1075561606535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
90,2016,18949,178.0,1198.0,867.0,5.0,5.0,867.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
91,2014,107000,130.0,2982.0,1685.0,7.0,16.5,1685.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
92,2018,48367,1768.0,1968.0,17433.0,5.0,39.58,17433.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
93,2013,57000,227.0,1498.0,8984.0,5.0,5.5,8984.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
94,2014,58000,151.0,2179.0,140.0,7.0,8.1,140.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
95,2015,30000,258.0,1498.0,986.0,5.0,3.5,986.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
96,2013,34212,2207.0,1199.0,739.0,5.0,2.79,739.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
97,2010,70002,162.0,1493.0,110.0,5.0,3.45,110.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
98,2016,62000,189.0,998.0,671.0,5.0,4.45,671.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
99,2010,62001,1526.0,1598.0,1035.0,5.0,2.65,1035.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
100,2011,78958,230.0,1396.0,90.0,5.0,3.8,90.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
101,2014,30180,185.0,1197.0,8285.0,5.0,4.65,8285.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
102,2017,32851,1983.0,1198.0,67.0,7.0,3.95,67.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
103,2010,30000,1494.0,2967.0,2414.0,5.0,9.8,2414.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
104,2009,66000,170.0,1197.0,80.0,5.0,2.7,80.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
105,2010,93850,140.0,796.0,35.0,5.0,2.41,35.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
106,2014,53000,1771.0,1197.0,789.0,5.0,3.9,789.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
107,2011,78000,1474.0,2993.0,2709.0,5.0,24.0,2709.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
108,2012,65000,160.0,2179.0,140.0,7.0,5.75,140.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
109,2014,40000,2232.0,1582.0,12632.0,5.0,5.25,12632.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
110,2017,30000,1136.0,2755.0,1715.0,7.0,19.25,1715.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
111,2017,38053,151.0,1196.0,73.0,5.0,3.91,73.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
112,2014,25500,254.0,624.0,375.0,4.0,2.15,375.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
113,2015,56087,2269.0,1995.0,190.0,5.0,20.75,190.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
114,2010,71088,135.0,1799.0,130.0,5.0,3.35,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
115,2014,55000,1299.0,2494.0,1006.0,7.0,11.11,1006.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
116,2014,32700,233.0,1984.0,150.0,5.0,20.0,150.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
117,2016,39882,1915.0,1198.0,7594.0,5.0,6.55,7594.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
118,2009,128000,108.0,2497.0,215.0,5.0,7.0,215.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
119,2016,55000,243.0,1248.0,885.0,5.0,7.5,885.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
120,2005,102000,170.0,1086.0,2740.1075561606535,5.0,0.85,2740.1075561606535,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
121,2014,53753,150.0,2143.0,1073.0,5.0,16.75,1073.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
122,2018,10250,220.0,1582.0,1262.0,5.0,10.95,1262.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
123,2011,43874,189.0,998.0,671.0,5.0,2.45,671.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
124,2017,32684,219.0,624.0,3748.0,4.0,3.23,3748.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
125,2014,42000,1205.0,2179.0,120.0,8.0,7.75,120.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
126,2009,28352,117.0,1796.0,178.0,5.0,9.35,178.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
127,2013,89900,266.0,998.0,5816.0,5.0,3.25,5816.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
128,2007,47700,108.0,2354.0,152.0,5.0,5.25,152.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
129,2015,55000,2121.0,1498.0,1032.0,5.0,7.25,1032.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
130,2017,44285,2073.0,1373.0,911.0,5.0,7.47,911.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
131,2016,54000,160.0,2179.0,140.0,7.0,13.25,140.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
132,2016,30232,211.0,1197.0,8580.0,5.0,5.81,8580.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
133,2014,88500,2407.0,998.0,671.0,5.0,2.6,671.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
134,2017,13372,190.0,2996.0,36207.0,2.0,54.0,36207.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
135,2019,12645,170.0,1591.0,1213.0,5.0,11.5,1213.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
136,2010,94385,197.0,796.0,463.0,5.0,1.6,463.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
137,2015,31821,2058.0,1995.0,143.0,5.0,17.22,143.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
138,2015,12000,190.0,1199.0,887.0,5.0,6.0,887.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
139,2012,88578,135.0,1799.0,130.0,5.0,3.95,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
140,2014,44965,1927.0,2143.0,170.0,5.0,17.95,170.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
141,2014,45044,258.0,1498.0,986.0,5.0,3.7,986.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
142,2016,34204,220.0,1197.0,8180.0,5.0,5.43,8180.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
143,2008,80759,170.0,1086.0,2740.1075561606535,5.0,1.67,2740.1075561606535,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
144,2012,91235,115.0,2982.0,171.0,7.0,13.49,171.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
145,2014,38800,186.0,1199.0,768.0,5.0,2.85,768.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
146,2013,83000,2114.0,1498.0,10352.0,5.0,4.75,10352.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
147,2018,41283,2073.0,1373.0,911.0,5.0,9.9,911.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
148,2013,23000,1105.0,2894.0,444.0,4.0,37.0,444.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
149,2014,48000,2176.0,1995.0,190.0,5.0,26.5,190.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
150,2015,48214,1711.0,1968.0,17433.0,5.0,23.32,17433.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
151,2016,35000,229.0,1248.0,74.0,5.0,6.25,74.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
152,2010,35277,781.0,5461.0,3629.0,5.0,30.0,3629.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0
153,2016,54620,2166.0,1498.0,10352.0,5.0,9.86,10352.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
154,2012,136997,172.0,1968.0,1381.0,5.0,8.5,1381.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
155,2019,14322,211.0,814.0,552.0,5.0,4.23,552.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0
156,2012,65634,2207.0,1199.0,739.0,5.0,3.5,739.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
157,2016,6000,2063.0,1198.0,6706.0,5.0,2.5,6706.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
158,2013,33280,194.0,1198.0,868.0,5.0,2.39,868.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
159,2013,29000,148.0,1595.0,1207.0,5.0,11.25,1207.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
160,2015,42831,260.0,1498.0,986.0,5.0,7.11,986.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
161,2016,90000,1299.0,2494.0,1006.0,7.0,10.9,1006.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
162,2017,24005,204.0,1197.0,8180.0,5.0,6.2,8180.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
163,2012,32792,151.0,2179.0,140.0,7.0,7.9,140.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
164,2014,147898,227.0,1498.0,8984.0,5.0,4.42,8984.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
165,2012,131765,130.0,2982.0,1685.0,7.0,13.5,1685.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
166,2013,65000,215.0,1498.0,1085.0,5.0,6.25,1085.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
167,2010,66123,200.0,1399.0,68.0,5.0,2.1,68.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
168,2015,41000,153.0,2993.0,258.0,5.0,45.0,258.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
169,2017,23550,1927.0,2143.0,16762.0,5.0,33.66,16762.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
170,2012,45000,194.0,1198.0,868.0,5.0,3.65,868.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
